fiyat,genislik,toplam_hacim,yukseklik,derinlik
49.480 TL,86 cm,576-600 L,186 cm,80 cm
28.300 TL,70 cm,451-475 L,185 cm,70 cm
41.999 TL,78 cm,551-575 L,186 cm,72 cm
14.001 TL,54 cm,200 L ve altı,83 cm,59 cm
36.999 TL,78 cm,551-575 L,186 cm,75 cm
29.899 TL,60 cm,326-350 L,190 cm,68 cm
68.000 TL,75 cm,526-550 L,186 cm,78 cm
62.800 TL,,600 L +,,84 cm
28.900 TL,70 cm,476-500 L,188 cm,70 cm
45.999 TL,79 cm,401-425 L,180 cm,70 cm
39.666 TL,70 cm,526-550 L,188 cm,70 cm
72.499 TL,92 cm,601+ L,183 cm,87 cm
41.001 TL,84 cm,576-600 L,186 cm,75 cm
57.999 TL,70 cm,526-550 L,185 cm,70 cm
42.299 TL,70 cm,501-525 L,193 cm,80 cm
67.000 TL,91 cm,501-525 L,190 cm,69 cm
52.399 TL,76 cm,476-500 L,192 cm,73 cm
"24.373,98 TL",70 cm,401-425 L,185 cm,65 cm
61.000 TL,91 cm,576-600 L,185 cm,75 cm
22.001 TL,54 cm,251-275 L,166 cm,63 cm
44.899 TL,83 cm,601+ L,192 cm,75 cm
30.000 TL,79 cm,476-500 L,199 cm,79 cm
"6.106,02 TL",48 cm,200 L ve altı,82 cm,50 cm
41.000 TL,75 cm,601+ L,186 cm,84 cm
33.999 TL,70 cm,476-500 L,185 cm,70 cm
68.888 TL,86 cm,601+ L,186 cm,84 cm
33.060 TL,84 cm,576-600 L,186 cm,75 cm
64.000 TL,83 cm,601+ L,191 cm,74 cm
"58.689,05 TL",60 cm,351-375 L,180 cm,60 cm
22.000 TL,70 cm,476-500 L,187 cm,79 cm
73.000 TL,86 cm,576-600 L,187 cm,74 cm
13.699 TL,54 cm,251-275 L,160 cm,41 cm
29.500 TL,60 cm,251-275 L,171 cm,64 cm
29.999 TL,70 cm,451-475 L,185 cm,70 cm
53.599 TL,91 cm,576-600 L,185 cm,77 cm
19.300 TL,46 cm,201-225 L,130 cm,50 cm
20.429 TL,70 cm,576-600 L,187 cm,72 cm
31.000 TL,70 cm,451-475 L,187 cm,72 cm
38.500 TL,83 cm,576-600 L,184 cm,70 cm
9.500 TL,47 cm,200 L ve altı,81 cm,50 cm
25.999 TL,70 cm,426-450 L,172 cm,65 cm
34.539 TL,74 cm,501-525 L,186 cm,75 cm
"43.299,99 TL",70 cm,451-475 L,182 cm,71 cm
13.989 TL,54 cm,276-300 L,160 cm,57 cm
24.800 TL,76 cm,501-525 L,186 cm,75 cm
17.222 TL,70 cm,476-500 L,183 cm,66 cm
17.499 TL,59 cm,276-300 L,176 cm,55 cm
29.990 TL,60 - 75 cm,400 - 600 L,180 - 195 cm,75 cm +
5.444 TL,48 cm,200 L ve altı,49 cm,44 cm
33.999 TL,60 cm,326-350 L,186 cm,66 cm
64.599 TL,82 cm,601+ L,191 cm,74 cm
29.645 TL,60 cm,251-275 L,187 cm,66 cm
64.788 TL,75 cm,526-550 L,186 cm,80 cm
26.999 TL,70 cm,451-475 L,183 cm,72 cm
64.999 TL,70 cm,526-550 L,188 cm,70 cm
39.800 TL,76 cm,526-550 L,186 cm,73 cm
23.749 TL,70 cm,401-425 L,173 cm,72 cm
80.000 TL,86 cm,600-625 L,186 cm,81 cm
56.500 TL,76 cm,526-550 L,186 cm,73 cm
40.999 TL,70 cm,476-500 L,187 cm,75 cm
47.999 TL,75 cm,526-550 L,186 cm,74 cm
25.900 TL,70 cm,426-450 L,180 cm,66 cm
41.999 TL,74 cm,576-600 L,186 cm,76 cm
13.900 TL,44 cm,200 L ve altı,140 cm,54 cm
51.999 TL,83 cm,601+ L,191 cm,74 cm
31.699 TL,79 cm,576-600 L,180 cm,75 cm
30.000 TL,79 cm,526-550 L,184 cm,71 cm
41.999 TL,78 cm,551-575 L,186 cm,75 cm
39.000 TL,70 cm,451-475 L,185 cm,71 cm
17.385 TL,59 cm,301-325 L,174 cm,60 cm
24.900 TL,70 cm,476-500 L,187 cm,75 cm
6.900 TL,44 cm,0 - 90 L,56 cm,45 cm
47.899 TL,74 cm,526-550 L,182 cm,69 cm
60.995 TL,74 cm,576-600 L,186 cm,75 cm
13.700 TL,54 cm,226-250 L,144 cm,57 cm
38.999 TL,74 cm,526-550 L,186 cm,80 cm
23.800 TL,60 cm,301-325 L,186 cm,65 cm
44.000 TL,79 cm,426-450 L,180 cm,70 cm
56.499 TL,78 cm,576-600 L,186 cm,76 cm
29.999 TL,70 cm,401-425 L,185 cm,65 cm
33.999 TL,74 cm,501-525 L,188 cm,70 cm
47.999 TL,83 cm,576-600 L,188 cm,76 cm
41.999 TL,78 cm,551-575 L,186 cm,75 cm
31.499 TL,70 cm,451-475 L,184 cm,72 cm
38.848 TL,83 cm,451-475 L,181 cm,65 cm
"41.272,04 TL",60 - 75 cm,400 - 600 L,180 - 195 cm,75 cm +
69.500 TL,86 cm,600-625 L,186 cm,86 cm
26.199 TL,70 cm,576-600 L,186 cm,72 cm
24.390 TL,70 cm,426-450 L,185 cm,65 cm
27.999 TL,60 cm,326-350 L,185 cm,70 cm
53.999 TL,70 cm,526-550 L,188 cm,70 cm
22.849 TL,70 cm,476-500 L,192 cm,71 cm
51.500 TL,70 cm,501-525 L,193 cm,80 cm
44.999 TL,74 cm,551-575 L,186 cm,76 cm
53.899 TL,75 cm,526-550 L,186 cm,80 cm
69.999 TL,71 cm,476-500 L,181 cm,70 cm
39.000 TL,70 cm,501-525 L,192 cm,74 cm
25.999 TL,70 cm,376-400 L,171 cm,67 cm
31.799 TL,54 cm,576-600 L,182 cm,59 cm
25.878 TL,59 cm,326-350 L,185 cm,65 cm
49.799 TL,83 cm,601+ L,193 cm,76 cm
4.200 TL,,200 L ve altı,,30 cm ve altı
42.000 TL,70 cm,451-475 L,185 cm,71 cm
44.801 TL,71 cm,451-475 L,191 cm,75 cm
44.890 TL,75 cm,526-550 L,186 cm,80 cm
44.599 TL,70 cm,476-500 L,186 cm,74 cm
67.500 TL,69 cm,351-375 L,194 cm,55 cm
44.999 TL,83 cm,601+ L,191 cm,74 cm
23.999 TL,76 cm,501-525 L,186 cm,75 cm
53.000 TL,84 cm,476-500 L,179 cm,69 cm
43.499 TL,82 cm,551-575 L,187 cm,74 cm
46.801 TL,70 cm,476-500 L,192 cm,72 cm
48.000 TL,78 cm,551-575 L,186 cm,75 cm
44.599 TL,70 cm,476-500 L,186 cm,74 cm
50.700 TL,83 cm,600-625 L,193 cm,76 cm
49.900 TL,60 - 75 cm,400 - 600 L,180 - 195 cm,75 cm +
12.000 TL,54 cm,200 L ve altı,84 cm,59 cm
61.900 TL,83 cm,601+ L,186 cm,74 cm
9.900 TL,45 cm,200 L ve altı,87 cm,52 cm
43.999 TL,70 cm,476-500 L,192 cm,75 cm
31.899 TL,74 cm,551-575 L,186 cm,74 cm
31.999 TL,70 cm,326-350 L,178 cm,64 cm
23.887 TL,59 cm,326-350 L,185 cm,65 cm
31.999 TL,60 cm,326-350 L,186 cm,65 cm
99.000 TL,72 cm,451-475 L,185 cm,65 cm
32.699 TL,79 cm,576-600 L,180 cm,75 cm
"31.999,99 TL",70 cm,476-500 L,187 cm,75 cm
5.900 TL,56 cm,201-225 L,45 cm,100 cm ve üstü
28.299 TL,70 cm,451-475 L,185 cm,71 cm
32.000 TL,75 cm,551-575 L,186 cm,75 cm
"38.144,91 TL",74 cm,526-550 L,186 cm,74 cm
52.399 TL,83 cm,601+ L,191 cm,74 cm
43.999 TL,70 cm,501-525 L,192 cm,75 cm
16.649 TL,59 cm,276-300 L,176 cm,55 cm
30.999 TL,74 cm,501-525 L,186 cm,80 cm
26.999 TL,70 cm,426-450 L,173 cm,72 cm
41.444 TL,70 cm,476-500 L,192 cm,74 cm
32.469 TL,70 cm,426-450 L,185 cm,70 cm
60.999 TL,74 cm,576-600 L,186 cm,75 cm
49.999 TL,70 cm,551-575 L,192 cm,74 cm
51.000 TL,76 cm,501-525 L,186 cm,74 cm
15.499 TL,54 cm,226-250 L,161 cm,57 cm
29.999 TL,75 cm,526-550 L,186 cm,70 cm
30.000 TL,60 cm,301-325 L,179 cm,63 cm
19.599 TL,70 cm,426-450 L,183 cm,72 cm
54.250 TL,40 cm,0 - 90 L,73 cm,50 cm
38.599 TL,70 cm,451-475 L,187 cm,72 cm
6.655 TL,45 cm,200 L ve altı,49 cm,49 cm
22.999 TL,70 cm,401-425 L,185 cm,65 cm
16.300 TL,45 cm,376-400 L,119 cm,49 cm
58.999 TL,70 cm,551-575 L,192 cm,75 cm
25.499 TL,60 cm,326-350 L,186 cm,67 cm
"42.140,52 TL",60 - 75 cm,400 - 600 L,180 - 195 cm,60 - 65 cm
29.899 TL,70 cm,476-500 L,172 cm,70 cm
62.000 TL,86 cm,601+ L,186 cm,84 cm
27.950 TL,70 cm,451-475 L,183 cm,72 cm
22.700 TL,70 cm,451-475 L,187 cm,72 cm
44.000 TL,75 - 90 cm,400 - 600 L,165 - 180 cm,70 - 75 cm
31.999 TL,70 cm,501-525 L,187 cm,75 cm
41.999 TL,84 cm,576-600 L,178 cm,70 cm
24.499 TL,60 cm,326-350 L,186 cm,67 cm
25.999 TL,70 cm,526-550 L,192 cm,71 cm
45.999 TL,78 cm,551-575 L,187 cm,76 cm
27.999 TL,59 cm,376-400 L,186 cm,65 cm
20.499 TL,70 cm,501-525 L,185 cm,72 cm
41.000 TL,70 cm,551-575 L,193 cm,84 cm
50.999 TL,71 cm,451-475 L,191 cm,75 cm
31.999 TL,70 cm,451-475 L,187 cm,75 cm
"36.713,10 TL",70 cm,501-525 L,192 cm,72 cm
66.839 TL,82 cm,526-550 L,178 cm,77 cm
29.000 TL,70 cm,451-475 L,186 cm,72 cm
30.999 TL,70 cm,426-450 L,185 cm,70 cm
31.999 TL,70 cm,451-475 L,187 cm,75 cm
21.999 TL,70 cm,576-600 L,189 cm,72 cm
38.999 TL,70 cm,501-525 L,192 cm,75 cm
32.999 TL,70 cm,451-475 L,185 cm,74 cm
23.499 TL,66 cm,351-375 L,172 cm,70 cm
41.900 TL,79 cm,501-525 L,179 cm,72 cm
69.000 TL,55 cm,276-300 L,177 cm,55 cm
29.999 TL,79 cm,526-550 L,184 cm,71 cm
41.500 TL,83 cm,601+ L,187 cm,82 cm
59.000 TL,70 cm,501-525 L,193 cm,80 cm
39.999 TL,84 cm,551-575 L,182 cm,74 cm
6.899 TL,48 cm,200 L ve altı,82 cm,50 cm
27.799 TL,70 cm,451-475 L,184 cm,75 cm
44.999 TL,74 cm,576-600 L,186 cm,76 cm
33.499 TL,70 cm,576-600 L,192 cm,73 cm
"45.778,91 TL",84 cm,576-600 L,186 cm,75 cm
72.000 TL,83 cm,501-525 L,177 cm,70 cm
45.000 TL,74 cm,526-550 L,186 cm,75 cm
49.999 TL,54 cm,301-325 L,177 cm,56 cm
41.347 TL,84 cm,601+ L,182 cm,75 cm
54.990 TL,74 cm,601+ L,187 cm,70 cm
52.499 TL,74 cm,400 - 600 L,185 cm,80 cm
16.799 TL,70 cm,426-450 L,183 cm,65 cm
49.500 TL,60 cm,376-400 L,180 cm,60 cm
49.601 TL,84 cm,476-500 L,179 cm,69 cm
52.149 TL,93 cm,576-600 L,93 cm,86 cm
66.488 TL,75 cm,526-550 L,186 cm,80 cm
48.900 TL,83 cm,626-650 L,188 cm,76 cm
406.910 TL,61 cm,226-250 L,182 cm,60 cm
39.450 TL,70 cm,526-550 L,185 cm,70 cm
42.999 TL,70 cm,476-500 L,186 cm,74 cm
33.799 TL,76 cm,451-475 L,178 cm,72 cm
22.000 TL,70 cm,401-425 L,185 cm,66 cm
41.600 TL,84 cm,626-650 L,187 cm,75 cm
27.999 TL,70 cm,476-500 L,187 cm,70 cm
18.949 TL,70 cm,576-600 L,173 cm,72 cm
49.801 TL,70 cm,326-350 L,183 cm,72 cm
35.327 TL,54 cm,226-250 L,177 cm,54 cm
29.999 TL,60 cm,276-300 L,187 cm,66 cm
27.499 TL,60 - 75 cm,400 - 600 L,180 - 195 cm,70 - 75 cm
4.999 TL,70 cm,426-450 L,185 cm,70 cm
29.989 TL,70 cm,426-450 L,185 cm,70 cm
38.750 TL,70 cm,501-525 L,192 cm,74 cm
26.500 TL,60 cm,301-325 L,186 cm,67 cm
54.000 TL,83 cm,601+ L,89 cm,70 cm
36.500 TL,70 cm,451-475 L,185 cm,77 cm
50.999 TL,56 cm,251-275 L,178 cm,55 cm
19.300 TL,46 cm,201-225 L,130 cm,50 cm
48.990 TL,75 cm,526-550 L,186 cm,80 cm
46.999 TL,70 cm,576-600 L,186 cm,84 cm
32.999 TL,87 cm,201-225 L,88 cm,54 cm
41.000 TL,70 cm,476-500 L,186 cm,80 cm
32.000 TL,70 cm,351-375 L,178 cm,65 cm
38.900 TL,76 cm,501-525 L,192 cm,72 cm
35.000 TL,72 cm,501-525 L,170 cm,81 cm
40.000 TL,76 cm,526-550 L,186 cm,74 cm
44.999 TL,,400 - 600 L,,
34.999 TL,74 cm,501-525 L,186 cm,75 cm
16.999 TL,70 cm,576-600 L,189 cm,65 cm
29.999 TL,,200 L ve altı,100 cm,100 cm ve üstü
56.999 TL,70 cm,451-475 L,182 cm,67 cm
67.699 TL,86 cm,576-600 L,186 cm,86 cm
29.000 TL,63 cm,301-325 L,179 cm,60 cm
34.500 TL,90 cm,90 - 200 L,87 cm,37 cm
66.000 TL,75 cm,501-525 L,186 cm,80 cm
50.999 TL,75 cm,526-550 L,186 cm,80 cm
7.990 TL,45 cm,200 L ve altı,56 cm,45 cm
35.999 TL,70 cm,501-525 L,192 cm,74 cm
36.999 TL,70 cm,451-475 L,186 cm,72 cm
42.699 TL,76 cm,501-525 L,192 cm,72 cm
69.498 TL,69 cm,376-400 L,190 cm,55 cm
29.999 TL,72 cm,401-425 L,173 cm,70 cm
35.549 TL,70 cm,451-475 L,186 cm,72 cm
38.899 TL,74 cm,526-550 L,186 cm,76 cm
49.999 TL,82 cm,551-575 L,187 cm,74 cm
48.990 TL,75 cm,526-550 L,186 cm,80 cm
34.999 TL,90 cm,551-575 L,177 cm,71 cm
26.659 TL,70 cm,426-450 L,185 cm,66 cm
72.500 TL,75 cm,526-550 L,186 cm,78 cm
13.699 TL,54 cm,276-300 L,160 cm,64 cm
24.999 TL,70 cm,476-500 L,192 cm,71 cm
52.500 TL,79 cm,526-550 L,186 cm,77 cm
23.369 TL,,400 - 600 L,,
30.898 TL,74 cm,551-575 L,186 cm,75 cm
78.999 TL,91 cm,576-600 L,185 cm,75 cm
51.000 TL,75 cm,400 - 600 L,186 cm,80 cm
8.297 TL,47 cm,200 L ve altı,82 cm,50 cm
59.999 TL,74 cm,526-550 L,186 cm,75 cm
52.000 TL,70 cm,501-525 L,193 cm,80 cm
45.499 TL,70 cm,426-450 L,190 cm,68 cm
78.699 TL,86 cm,601+ L,186 cm,84 cm
28.690 TL,48 cm,200 L ve altı,129 cm,58 cm
44.000 TL,75 cm,526-550 L,186 cm,80 cm
56.999 TL,84 cm,601+ L,182 cm,74 cm
101.740 TL,69 cm,376-400 L,193 cm,55 cm
48.999 TL,74 cm,526-550 L,186 cm,76 cm
71.531 TL,84 cm,551-575 L,182 cm,75 cm
69.950 TL,83 cm,576-600 L,189 cm,68 cm
6.999 TL,35 cm,401-425 L,52 cm,30 cm ve altı
79.000 TL,84 cm,626-650 L,186 cm,70 cm
59.400 TL,54 cm,201-225 L,97 cm,65 cm
12.999 TL,59 cm,200 L ve altı,83 cm,54 cm
46.990 TL,75 cm,526-550 L,186 cm,78 cm
18.999 TL,70 cm,426-450 L,173 cm,72 cm
67.799 TL,91 cm,576-600 L,185 cm,75 cm
5.490 TL,44 cm,200 L ve altı,56 cm,45 cm
41.990 TL,75 cm,526-550 L,186 cm,80 cm
38.999 TL,84 cm,601+ L,194 cm,78 cm
25.199 TL,70 cm,376-400 L,172 cm,68 cm
54.999 TL,86 cm,601+ L,186 cm,84 cm
104.975 TL,79 cm,401-425 L,180 cm,70 cm
23.999 TL,70 cm,451-475 L,184 cm,75 cm
55.999 TL,75 cm,526-550 L,186 cm,80 cm
36.975 TL,75 cm,501-525 L,176 cm,84 cm
6.999 TL,44 cm,201-225 L,56 cm,45 cm
28.900 TL,70 cm,451-475 L,183 cm,72 cm
31.000 TL,70 cm,451-475 L,186 cm,72 cm
58.999 TL,83 cm,601+ L,187 cm,76 cm
69.999 TL,89 cm,601+ L,183 cm,77 cm
26.900 TL,70 cm,476-500 L,186 cm,74 cm
22.949 TL,70 cm,576-600 L,186 cm,72 cm
29.999 TL,45 - 60 cm,200 - 400 L,180 - 195 cm,65 - 70 cm
12.700 TL,54 cm,200 L ve altı,83 cm,59 cm
37.894 TL,60 cm,301-325 L,187 cm,66 cm
22.249 TL,60 cm,326-350 L,186 cm,65 cm
33.699 TL,70 cm,476-500 L,192 cm,71 cm
24.499 TL,70 cm,426-450 L,185 cm,65 cm
29.999 TL,70 cm,401-425 L,185 cm,65 cm
"31.826,91 TL",75 cm,526-550 L,183 cm,74 cm
46.000 TL,70 cm,426-450 L,190 cm,68 cm
49.999 TL,70 cm,501-525 L,192 cm,74 cm
64.199 TL,84 cm,476-500 L,179 cm,69 cm
26.690 TL,70 cm,451-475 L,186 cm,74 cm
50.400 TL,75 cm,526-550 L,186 cm,84 cm
36.499 TL,76 cm,526-550 L,186 cm,73 cm
26.999 TL,70 cm,476-500 L,186 cm,71 cm
31.400 TL,70 cm,476-500 L,192 cm,72 cm
34.899 TL,70 cm,476-500 L,192 cm,72 cm
20.349 TL,70 cm,426-450 L,183 cm,65 cm
45.899 TL,78 cm,551-575 L,186 cm,75 cm
49.910 TL,83 cm,601+ L,186 cm,78 cm
37.499 TL,70 cm,426-450 L,185 cm,71 cm
27.000 TL,70 cm,451-475 L,188 cm,69 cm
48.090 TL,70 cm,426-450 L,185 cm,70 cm
"125.260,54 TL",57 cm,226-250 L,177 cm,55 cm
67.299 TL,75 cm,526-550 L,186 cm,78 cm
21.999 TL,70 cm,451-475 L,186 cm,72 cm
33.649 TL,70 cm,501-525 L,193 cm,80 cm
46.499 TL,70 cm,400 - 600 L,193 cm,84 cm
16.501 TL,54 cm,200 L ve altı,83 cm,59 cm
66.799 TL,91 cm,576-600 L,185 cm,75 cm
29.901 TL,60 cm,301-325 L,179 cm,63 cm
34.999 TL,70 cm,451-475 L,183 cm,72 cm
"25.831,91 TL",70 cm,451-475 L,188 cm,70 cm
68.950 TL,54 cm,201-225 L,97 cm,65 cm
39.900 TL,70 cm,501-525 L,193 cm,80 cm
84.900 TL,70 cm,476-500 L,186 cm,80 cm
29.898 TL,70 cm,501-525 L,192 cm,75 cm
50.789 TL,83 cm,601+ L,191 cm,74 cm
6.199 TL,50 cm,200 L ve altı,48 cm,82 cm
11.624 TL,32 cm,200 L ve altı,,32 cm
42.499 TL,60 - 75 cm,400 - 600 L,165 - 180 cm,70 - 75 cm
19.100 TL,45 cm,276-300 L,130 cm,48 cm
84.000 TL,86 cm,600-625 L,186 cm,84 cm
36.500 TL,70 cm,476-500 L,192 cm,72 cm
37.949 TL,70 cm,476-500 L,192 cm,75 cm
"15.505,08 TL",47 cm,200 L ve altı,85 cm,44 cm
41.999 TL,78 cm,551-575 L,186 cm,75 cm
48.799 TL,83 cm,601+ L,187 cm,82 cm
42.700 TL,78 cm,551-575 L,186 cm,75 cm
82.500 TL,91 cm,600-625 L,182 cm,71 cm
50.999 TL,83 cm,576-600 L,188 cm,76 cm
33.399 TL,60 cm,326-350 L,190 cm,68 cm
27.500 TL,70 cm,476-500 L,187 cm,75 cm
39.499 TL,70 cm,451-475 L,186 cm,71 cm
41.999 TL,70 cm,476-500 L,192 cm,71 cm
43.999 TL,60 - 75 cm,400 - 600 L,165 - 180 cm,70 - 75 cm
28.900 TL,59 cm,326-350 L,186 cm,65 cm
18.599 TL,70 cm,426-450 L,183 cm,72 cm
26.999 TL,70 cm,451-475 L,188 cm,69 cm
26.999 TL,61 cm,326-350 L,191 cm,69 cm
47.999 TL,83 cm,501-525 L,182 cm,65 cm
28.599 TL,70 cm,476-500 L,183 cm,73 cm
57.890 TL,82 cm,551-575 L,187 cm,74 cm
40.999 TL,71 cm,451-475 L,191 cm,75 cm
25.999 TL,70 cm,476-500 L,186 cm,71 cm
99.999 TL,90 cm,601+ L,193 cm,77 cm
"52.821,33 TL",,90 - 200 L,,
"34.999,90 TL",60 cm,201-225 L,187 cm,66 cm
25.949 TL,70 cm,451-475 L,185 cm,70 cm
10.997 TL,50 cm,200 L ve altı,82 cm,48 cm
59.499 TL,70 cm,551-575 L,192 cm,74 cm
27.999 TL,70 cm,576-600 L,192 cm,72 cm
59.500 TL,84 cm,400 - 600 L,187 cm,79 cm
44.401 TL,84 cm,476-500 L,179 cm,69 cm
34.301 TL,54 cm,226-250 L,177 cm,54 cm
40.600 TL,70 cm,376-400 L,172 cm,71 cm
27.699 TL,70 cm,426-450 L,183 cm,65 cm
39.999 TL,74 cm,501-525 L,186 cm,80 cm
53.549 TL,71 cm,451-475 L,191 cm,75 cm
41.810 TL,78 cm,526-550 L,185 cm,72 cm
44.000 TL,70 cm,476-500 L,186 cm,80 cm
18.750 TL,54 cm,276-300 L,160 cm,59 cm
36.990 TL,75 cm,576-600 L,186 cm,80 cm
17.949 TL,54 cm,226-250 L,161 cm,56 cm
73.990 TL,70 cm,476-500 L,186 cm,80 cm
44.599 TL,70 cm,476-500 L,186 cm,74 cm
"33.053,64 TL",70 cm,451-475 L,187 cm,75 cm
32.000 TL,70 cm,476-500 L,192 cm,73 cm
9.850 TL,54 cm,0 - 90 L,83 cm,59 cm
39.399 TL,84 cm,576-600 L,186 cm,75 cm
31.990 TL,70 cm,376-400 L,178 cm,64 cm
51.929 TL,75 cm,576-600 L,186 cm,80 cm
38.390 TL,84 cm,576-600 L,186 cm,75 cm
31.000 TL,60 cm,301-325 L,186 cm,67 cm
44.567 TL,74 cm,501-525 L,186 cm,76 cm
20.999 TL,,400 - 600 L,,
37.999 TL,70 cm,501-525 L,192 cm,74 cm
36.999 TL,70 cm,476-500 L,186 cm,74 cm
37.999 TL,75 cm,526-550 L,186 cm,80 cm
47.999 TL,70 cm,526-550 L,188 cm,70 cm
29.997 TL,70 cm,451-475 L,182 cm,72 cm
54.250 TL,40 cm,201-225 L,72 cm,50 cm
38.171 TL,70 cm,476-500 L,192 cm,74 cm
72.000 TL,86 cm,601+ L,186 cm,81 cm
44.000 TL,99 cm,251-275 L,87 cm,37 cm
